overall_rank,amfi_code,scheme_name,fund_house,sub_category,expense_ratio_pct,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,sharpe_ratio_calc,sortino_ratio_calc,alpha_annualised,beta,max_dd_pct,peak_date,trough_date,score_3yr,score_sharpe,score_alpha,score_expense,score_mdd,composite_score
1,148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,1.46,20.376,33.992,30.9741,1.4482911703262602,2.385644373368819,26.9838,0.0237,-11.2657,2023-07-11,2023-10-20,97.44,100.0,84.62,43.59,82.05,85.9
2,120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,1.36,29.6277,31.7692,32.8274,1.1801011976606492,2.0293529404657464,29.2636,0.0005,-18.1885,2024-10-24,2025-01-23,89.74,89.74,94.87,64.1,38.46,81.79
3,120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,1.45,26.6776,29.5751,30.9075,1.3067439695428407,2.364320032166718,27.3305,-0.0228,-12.974,2022-03-07,2022-04-13,84.62,97.44,89.74,46.15,69.23,81.54
4,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,1.38,53.2772,32.434,30.1232,1.0936987435346308,1.8291339615146944,27.1954,0.0051,-16.2172,2022-03-11,2022-05-12,92.31,84.62,87.18,58.97,51.28,80.26
5,120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,0.8,13.0738,32.4789,23.2951,1.0265242847993001,1.8052937940992546,21.1948,0.0162,-12.5883,2022-10-04,2023-05-30,94.87,76.92,69.23,71.79,71.79,79.48
6,119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,1.38,22.2779,35.1025,28.2144,0.9982309868636414,1.7037974802463003,26.0767,-0.0663,-20.9609,2022-04-14,2022-08-11,100.0,74.36,79.49,58.97,30.77,76.41
7,119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,1.54,60.4893,30.4486,25.8047,1.208266567372718,2.140267129061794,23.201,-0.0318,-15.0124,2023-08-24,2024-02-05,87.18,92.31,76.92,24.36,58.97,74.17
8,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,1.6,39.7838,29.1714,31.9495,1.2349300257743299,2.146913926346056,28.2704,0.0181,-16.3967,2023-08-10,2023-10-20,82.05,94.87,92.31,8.97,48.72,73.01
9,101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,1.6,47.9638,28.9602,23.5384,1.0272133278753697,1.7995628746984524,21.3998,0.0211,-11.2916,2023-04-24,2023-07-05,79.49,79.49,71.79,8.97,79.49,67.37
10,119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,1.43,82.8516,26.6631,32.4235,0.9453082575156094,1.6753165700125519,30.337,-0.0232,-28.706,2024-08-28,2025-05-14,71.79,66.67,100.0,48.72,10.26,66.54
11,149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,1.61,21.4974,26.8631,29.5811,1.1321218524747247,1.8751010639192085,26.5986,-0.0025,-17.2481,2022-06-06,2022-10-24,74.36,87.18,82.05,5.13,46.15,65.9
12,149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,1.52,65.1955,26.9935,32.2874,0.9497958246616032,1.6197931764914093,30.0579,0.0115,-31.1719,2024-05-03,2025-01-03,76.92,69.23,97.44,34.62,7.69,65.83
13,118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,1.51,34.0079,22.6466,24.0495,1.0816591793457044,1.8501325468557264,21.8294,-0.0084,-17.4141,2024-01-02,2024-07-19,66.67,82.05,74.36,39.74,43.59,65.71
14,119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,0.66,5.7101,16.2634,21.5242,0.9532794968660105,1.6097764896283082,19.8686,-0.0262,-11.8035,2024-05-21,2024-09-02,43.59,71.79,64.1,92.31,74.36,65.13
15,125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,0.92,28.6976,18.4299,19.0178,0.7757902498211209,1.3306512447571368,17.7298,0.0488,-15.2,2023-12-22,2025-01-01,53.85,56.41,61.54,66.67,56.41,58.21
