amfi_code,scheme_name,hhi,num_sectors,top_sector,top_sector_wt,concentration
119092,Axis Bluechip Fund - Regular - Growth,0.2968,7,IT,48.69,Concentrated (>0.25)
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.2551,7,Banking,39.82,Concentrated (>0.25)
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.2532,6,Banking,41.2,Concentrated (>0.25)
102887,UTI Flexi Cap Fund - Regular - Growth,0.2513,6,Pharma,39.04,Concentrated (>0.25)
149323,DSP Midcap Fund - Regular - Growth,0.2411,7,Pharma,41.34,Moderate (0.15-0.25)
120505,ICICI Pru Midcap Fund - Regular - Growth,0.2386,7,Pharma,40.75,Moderate (0.15-0.25)
118635,Nippon India ETF Nifty 50 BeES,0.2375,6,IT,39.35,Moderate (0.15-0.25)
119599,SBI Small Cap Fund - Direct Plan - Growth,0.2324,7,Banking,34.08,Moderate (0.15-0.25)
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.2314,7,Banking,30.4,Moderate (0.15-0.25)
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.2276,7,Banking,35.97,Moderate (0.15-0.25)
119552,SBI Bluechip Fund - Direct Plan - Growth,0.2275,7,Automobile,32.48,Moderate (0.15-0.25)
101207,ABSL Small Cap Fund - Regular - Growth,0.2228,6,Pharma,35.07,Moderate (0.15-0.25)
118633,Nippon India Large Cap Fund - Direct - Growth,0.2212,7,Banking,34.18,Moderate (0.15-0.25)
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.2212,8,Banking,35.61,Moderate (0.15-0.25)
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.2181,6,Banking,33.8,Moderate (0.15-0.25)
120841,Kotak Bluechip Fund - Regular - Growth,0.2158,7,Pharma,27.46,Moderate (0.15-0.25)
118632,Nippon India Large Cap Fund - Regular - Growth,0.2072,6,Telecom,30.44,Moderate (0.15-0.25)
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.2013,6,Banking,30.78,Moderate (0.15-0.25)
149324,DSP Small Cap Fund - Regular - Growth,0.1887,9,Pharma,32.52,Moderate (0.15-0.25)
119598,SBI Small Cap Fund - Regular Plan - Growth,0.1881,7,IT,31.84,Moderate (0.15-0.25)
119093,Axis Bluechip Fund - Direct - Growth,0.1842,8,IT,26.67,Moderate (0.15-0.25)
149322,DSP Top 100 Equity Fund - Regular - Growth,0.1827,7,Banking,28.64,Moderate (0.15-0.25)
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.1822,7,FMCG,30.67,Moderate (0.15-0.25)
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.1807,8,Utilities,28.95,Moderate (0.15-0.25)
100016,HDFC Top 100 Fund - Regular Plan - Growth,0.1806,8,IT,25.9,Moderate (0.15-0.25)
101206,ABSL Frontline Equity Fund - Regular - Growth,0.18,7,Banking,25.09,Moderate (0.15-0.25)
119094,Axis Midcap Fund - Regular - Growth,0.1751,6,FMCG,23.17,Moderate (0.15-0.25)
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.1724,7,IT,26.92,Moderate (0.15-0.25)
120842,Kotak Emerging Equity Fund - Regular - Growth,0.1621,8,Automobile,26.66,Moderate (0.15-0.25)
118634,Nippon India Small Cap Fund - Regular - Growth,0.1603,8,FMCG,25.23,Moderate (0.15-0.25)
119095,Axis Small Cap Fund - Regular - Growth,0.1596,8,IT,24.25,Moderate (0.15-0.25)
119551,SBI Bluechip Fund - Regular Plan - Growth,0.1425,8,Utilities,21.33,Diversified (HHI<0.15)
120843,Kotak Flexicap Fund - Regular - Growth,0.1362,9,Utilities,19.94,Diversified (HHI<0.15)
102886,UTI Mid Cap Fund - Regular - Growth,0.1241,10,Consumer Goods,18.99,Diversified (HHI<0.15)
