amfi_code,scheme_name,risk_grade,var_95_daily_pct,cvar_95_daily_pct,var_95_annual_pct,cvar_95_annual_pct,num_obs,mean_daily_ret_pct,std_daily_ret_pct,var_rank,cvar_rank
119599,SBI Small Cap Fund - Direct Plan - Growth,Very High,-2.6859,-3.2384,-42.638,-51.4082,1149,0.0201,1.5717,1,2
119095,Axis Small Cap Fund - Regular - Growth,Very High,-2.6188,-3.1667,-41.5728,-50.2703,1149,0.0182,1.579,2,4
101207,ABSL Small Cap Fund - Regular - Growth,Very High,-2.6021,-3.2459,-41.3075,-51.5272,1149,0.0424,1.6251,3,1
118634,Nippon India Small Cap Fund - Regular - Growth,Very High,-2.5438,-3.2304,-40.3818,-51.2811,1149,0.0707,1.5901,4,3
119598,SBI Small Cap Fund - Regular Plan - Growth,Very High,-2.4507,-3.0595,-38.9037,-48.5685,1149,0.1201,1.5837,5,6
149324,DSP Small Cap Fund - Regular - Growth,Very High,-2.3483,-3.1036,-37.2782,-49.2685,1149,0.1194,1.5648,6,5
102886,UTI Mid Cap Fund - Regular - Growth,High,-1.922,-2.3251,-30.5113,-36.9096,1149,0.011,1.1424,7,10
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,High,-1.9034,-2.3456,-30.2148,-37.2349,1149,0.108,1.1929,8,9
120505,ICICI Pru Midcap Fund - Regular - Growth,High,-1.8892,-2.4342,-29.9898,-38.6418,1149,0.1161,1.2152,9,7
119094,Axis Midcap Fund - Regular - Growth,High,-1.848,-2.426,-29.3365,-38.5117,1149,0.1027,1.2225,10,8
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,High,-1.8365,-2.3094,-29.154,-36.6603,1149,0.0477,1.1561,11,11
120842,Kotak Emerging Equity Fund - Regular - Growth,High,-1.8219,-2.2725,-28.921,-36.0748,1149,0.0312,1.1273,12,12
149323,DSP Midcap Fund - Regular - Growth,High,-1.7882,-2.2607,-28.3869,-35.8869,1149,0.1055,1.1179,13,13
148569,Mirae Asset Tax Saver Fund - Regular - Growth,High,-1.7118,-2.1328,-27.1743,-33.8576,1149,0.1124,1.1134,14,14
102887,UTI Flexi Cap Fund - Regular - Growth,Moderately High,-1.5232,-1.9411,-24.1794,-30.8143,1149,0.0645,0.9927,15,15
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Moderately High,-1.4712,-1.8765,-23.3538,-29.7881,1149,0.0825,0.9719,16,17
125497,HDFC Top 100 Fund - Direct Plan - Growth,Moderate,-1.4592,-1.831,-23.1637,-29.066,1149,0.071,0.9241,17,20
120843,Kotak Flexicap Fund - Regular - Growth,Moderately High,-1.4508,-1.8381,-23.0306,-29.1791,1149,0.1082,1.0008,18,19
149322,DSP Top 100 Equity Fund - Regular - Growth,Moderate,-1.4474,-1.8402,-22.9765,-29.2119,1149,0.0522,0.9042,19,18
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Moderately High,-1.4388,-1.9405,-22.841,-30.8043,1149,0.065,0.9594,20,16
100016,HDFC Top 100 Fund - Regular Plan - Growth,Moderate,-1.4364,-1.806,-22.8016,-28.6697,1149,0.0142,0.9164,21,21
119093,Axis Bluechip Fund - Direct - Growth,Moderate,-1.4226,-1.7487,-22.5823,-27.7593,1149,0.033,0.8809,22,25
118632,Nippon India Large Cap Fund - Regular - Growth,Moderate,-1.3954,-1.7619,-22.1514,-27.9686,1149,0.0865,0.8913,23,23
119092,Axis Bluechip Fund - Regular - Growth,Moderate,-1.375,-1.7328,-21.8268,-27.5071,1149,0.0275,0.8788,24,29
